Location Point ID,Zone,中文名稱,Description,標定方法,X (mm),Y (mm),Angle (deg),Status,Notes
PICKUP_CUCUMBER,PICKUP,小黃瓜取料點,小黃瓜擺放位置,視覺 + Hand-eye,待標定,待標定,待標定,PENDING,YOLO檢測 → 像素轉換 → 現實座標
PICKUP_CARROT,PICKUP,紅蘿蔔取料點,紅蘿蔔擺放位置,視覺 + Hand-eye,待標定,待標定,待標定,PENDING,YOLO檢測 → 像素轉換 → 現實座標
PICKUP_CORN,PICKUP,玉米筍取料點,玉米筍擺放位置,視覺 + Hand-eye,待標定,待標定,待標定,PENDING,YOLO檢測 → 像素轉換 → 現實座標
WORK_CHOP_ZONE,WORK,切割區,食材切割動作中心,視覺 + ArUco,待標定,待標定,,PENDING,ArUco基準 → 區域中心點，約 400×300 mm
WORK_MIX_ZONE,WORK,混拌區,切好食材聚集點,視覺 + ArUco,待標定,待標定,,PENDING,ArUco基準 → 視覺區域標定
WORK_FLIP_ZONE,WORK,翻炒區,翻炒動作中心,視覺 + ArUco,待標定,待標定,,PENDING,ArUco基準 → 雙鏟互補中心
SALAD_BOWL,PLACEMENT,沙拉盤,最終放置沙拉的盤子,視覺 + ArUco,待標定,待標定,,PENDING,ArUco基準 (ID: 102) → 盤子中心座標
WASTE_CORNER,PLACEMENT,廢料角,根部段廢料放置區,視覺 + 手量尺,待標定,待標定,,PENDING,手工測量 or ArUco相對位置
HOME_LEFT,HOME,左臂復歸點,左臂待機位置（高處安全區），手工標定（示教盒或手驅動）,N/A,N/A,N/A,PENDING,相機看不到。用示教盒或手驅動到安全位置後記錄關節角或笛卡爾座標
HOME_RIGHT,HOME,右臂復歸點,右臂待機位置（高處安全區），手工標定（示教盒或手驅動）,N/A,N/A,N/A,PENDING,相機看不到。用示教盒或手驅動到安全位置後記錄關節角或笛卡爾座標
